rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
243,frame_0191.jpg,76.4,0.2663,0.2971,0.2857,0.16,4,2,False,False
244,frame_0198.jpg,79.2,0.2653,0.2689,0.1429,0.44,2,1,False,False
245,frame_0393.jpg,157.2,0.2552,0.4087,0.1429,0.04,3,1,False,False
246,frame_0092.jpg,36.8,0.237,0.2763,0.1429,0.28,3,1,False,False
247,frame_0311.jpg,124.4,0.2362,0.285,0.2857,0.04,5,2,False,False
248,frame_0102.jpg,40.8,0.2346,0.3354,0.1429,0.12,4,1,False,False
249,frame_0269.jpg,107.6,0.2346,0.3675,0.1429,0.04,5,1,False,False
250,frame_0371.jpg,148.4,0.2276,0.3374,0.1429,0.08,6,1,False,False
251,frame_0093.jpg,37.2,0.2213,0.2609,0.1429,0.24,3,1,False,False
252,frame_0372.jpg,148.8,0.2131,0.2924,0.1429,0.12,5,1,False,False
253,frame_0310.jpg,124.0,0.2102,0.3026,0.1429,0.08,5,1,False,False
254,frame_0110.jpg,44.0,0.2034,0.273,0.1429,0.12,3,1,False,False
255,frame_0324.jpg,129.6,0.1979,0.278,0.1429,0.08,3,1,False,False
256,frame_0180.jpg,72.0,0.1815,0.2453,0.1429,0.08,5,1,False,False
